AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
24.0,46,11,35,0.239,34.4,7.8,18.2,0.43,3.4,8.8,0.385,3.5,3.9,0.916,0.5,3.2,3.6,5.5,2.7,0.5,0.1,1.1,2.1,2.8,22.6,-7.2,34.3,3,0,36.4,315,392,105,495,29,37,22,375,6,6,136,45,54,41,364,165,215,35,25,314,450,20,125,74,30,557,59,135,38,47
20.0,10,1,9,0.1,6.5,0.8,2.4,0.333,0.1,0.8,0.125,0.6,0.7,0.857,0.6,0.3,0.9,0.7,0.4,0.3,0.0,0.0,0.2,0.4,2.3,0.5,4.9,0,0,4.6,493,538,444,554,499,494,469,521,466,438,484,350,380,98,298,544,510,433,437,418,520,525,548,455,484,205,502,257,38,503
27.0,51,24,27,0.471,16.8,2.4,4.8,0.504,0.5,1.8,0.298,1.1,1.3,0.906,0.8,3.0,3.8,0.9,1.0,0.8,0.3,0.3,1.4,1.0,6.5,-2.1,14.9,1,0,14.1,284,257,213,342,302,287,307,135,327,316,377,200,247,47,228,175,199,386,208,145,271,292,308,285,282,413,283,190,38,283
27.0,79,46,33,0.582,29.6,4.1,9.1,0.443,2.8,6.9,0.413,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.7,0.1,0.3,2.0,0.5,11.3,3.7,19.6,1,0,20.8,30,52,128,203,105,160,143,317,23,31,59,446,452,369,340,166,209,274,305,186,441,270,154,416,150,57,207,190,38,182
23.0,17,1,16,0.059,21.6,2.1,4.2,0.507,0.7,1.9,0.375,1.0,1.5,0.68,1.1,2.5,3.5,0.9,0.5,0.4,0.3,0.3,1.4,1.1,5.9,-7.5,13.0,0,0,12.4,453,538,375,558,226,317,337,131,293,312,168,231,203,410,157,247,225,380,375,391,283,306,321,255,301,560,323,257,38,319
25.0,82,47,35,0.573,32.1,5.6,11.5,0.486,1.9,5.1,0.367,2.8,3.3,0.853,0.7,3.6,4.3,5.5,2.1,0.8,0.3,0.6,1.9,3.0,15.9,-0.5,30.4,9,1,29.7,2,45,105,222,73,92,101,179,90,86,205,63,72,111,268,127,157,37,56,163,279,137,180,64,84,295,83,64,16,82
32.0,26,10,16,0.385,11.4,0.9,2.5,0.359,0.5,1.6,0.31,0.2,0.3,0.571,0.2,0.9,1.2,1.6,0.5,0.2,0.1,0.1,1.0,0.3,2.4,-0.5,6.6,0,0,6.2,406,403,375,400,412,481,464,503,339,338,359,494,487,479,485,470,485,232,408,499,439,497,433,479,477,292,471,257,38,467
22.0,19,7,12,0.368,26.8,5.2,7.9,0.649,0.0,0.0,0.0,2.4,3.4,0.719,4.0,5.7,9.7,1.2,0.9,0.8,1.1,0.9,2.6,2.8,12.7,-1.1,30.9,8,0,27.4,446,440,422,412,154,105,179,24,498,541,498,87,69,364,3,39,16,323,241,146,33,46,49,73,126,341,81,73,38,104
24.0,3,3,0,1.0,7.6,1.3,2.0,0.667,1.0,1.7,0.6,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.7,0.0,0.0,0.3,0.0,3.7,2.7,6.2,0,0,6.7,549,489,560,1,480,422,490,12,221,334,7,531,538,531,545,537,549,514,452,223,520,525,522,547,416,96,477,257,38,456
22.0,43,19,24,0.442,27.3,3.7,8.3,0.443,1.4,3.4,0.399,1.2,1.5,0.788,1.1,2.8,3.9,1.5,1.3,0.9,0.8,0.7,2.0,1.2,10.0,-0.3,20.7,0,0,20.1,330,307,263,365,140,179,165,318,154,175,95,187,191,242,155,211,191,248,150,104,76,114,151,233,184,282,189,257,38,189
31.0,82,46,36,0.561,29.0,4.2,8.9,0.474,1.8,4.7,0.387,1.9,2.4,0.801,0.8,2.2,3.0,1.2,0.7,0.7,0.1,0.3,1.2,2.0,12.2,-1.0,19.4,0,0,19.9,2,52,99,248,115,153,148,209,95,107,132,117,121,210,224,285,280,314,300,228,399,277,357,124,135,333,213,257,38,193
35.0,49,15,34,0.306,12.8,1.7,3.9,0.437,0.6,1.9,0.323,1.7,2.0,0.857,0.4,1.8,2.2,1.1,0.5,0.3,0.1,0.2,1.0,1.7,5.7,-2.0,10.8,0,0,10.5,302,347,113,450,379,362,363,344,316,309,340,138,154,98,400,334,354,331,403,423,429,436,408,159,309,405,365,257,38,360
23.0,57,32,25,0.561,26.4,3.1,6.6,0.479,1.3,3.3,0.385,0.7,1.0,0.684,0.7,2.5,3.2,2.3,1.1,0.8,0.2,0.5,1.9,1.3,8.2,-1.8,17.4,0,0,17.0,241,183,242,246,158,222,224,201,172,186,137,324,298,404,263,243,254,175,201,157,386,164,176,204,221,390,234,257,38,226
